created_at,text
2020-10-03 02:43:36,Revealed! This is when Tesla is coming to India according to Elon Musk #india #news https://t.co/OY1v2pV9s0
2020-10-03 03:12:07,@davidgokhshtein I wish for 100$ or a Tesla lmao
2020-10-03 03:09:53,"SUV Review: 2021 Tesla Model Y – New and Used Car Reviews, Comparisons and News | Driving https://t.co/F66lYfVMaN"
2020-10-03 03:10:59,"@andyjayhawk Speaking of chickens, who paid you to write a hit piece on Tesla about battery day? I watched the battery day presentation and had a very clear understanding of what advancements they've achieved. What do you mean that it ended with ""no battery""? It's in production. And in cars."
2020-10-03 03:16:58,Elon Musk thought there was a 'greater than 90% chance both SpaceX and Tesla would be worth $0'–but still invested millions https://t.co/Hc6iZlc3c2
2020-10-03 03:18:00,"@charliekirk11 Finally released @FBI 

the original film and 

sound recordings from

NIKOLA TESLA https://t.co/T0WUDcevDw"
2020-10-03 03:17:02,How Tesla Just Broke The Solar Industry https://t.co/4s3Vg6Z4Tt https://t.co/JRdXBR48dD
2020-10-03 03:07:56,"if I lived in the city , I would definitely be buying a Tesla next. Pumping gas is ghetto 🤣🙄"
2020-10-03 03:12:50,@Greg33_ @CopywriterBob I feel that a good example of Tesla performing this is the Cybertruck. Its overall cheaper than the average electric car making if a more plausible purchase for most individuals. I feel that Elon definitely has a jump start in terms of the automotive industry.  #ICMTKG #NKU205
2020-10-03 03:14:32,@KirkNason @realDonaldTrump You know you charge every single day with that old ass Tesla you have
2020-10-03 03:17:16,"just saw the baddest bitch in an all white Tesla, red lipstick &amp; slick back hair... me one day 🤤"
2020-10-03 03:19:23,@TeslaStraya @_TeslaTom @slava_evee @eveecars @teslaownersau @Tesla @elonmusk @PhantomLaneFour @TeslaGong @DrSallyL @sydney_ev @outbacktesla @TeslaPhotoAus no if you leave any grey parking inspectors have a choice if to book or not just make it a flat out EV ONLY then no grey
2020-10-03 03:13:08,@_TeslaTom @slava_evee @eveecars @teslaownersau @Tesla @elonmusk @PhantomLaneFour @TeslaGong @DrSallyL @sydney_ev @outbacktesla @TeslaPhotoAus I guess it depends how busy the place gets but I’d prefer more dedicated EV spots. We get ICE’d enough as it is let alone giving people a chance with a grey area like this.
2020-10-03 03:07:34,@chainlink @Tesla I bought a big bag @ 0.74 last year. NEVER SELLING $LINK #chainlink to the moon!
2020-10-03 03:13:31,@WholeMarsBlog Tesla could deliver 2 million vehicles next quarter and you know he'd find a way to make it seem like it was actually a bad thing.
2020-10-03 03:12:44,@alisailan5 @elonmusk @Tesla @EvaFoxU @vincent13031925 @WholeMarsBlog @Kristennetten @kimbal Haha nice! My 8 year old niece is so amazed by my #model3 @Tesla.
2020-10-03 03:06:32,@vincent13031925 Auto industry hasn’t seen innovation in over 100 years! Tesla is starting to change that! Remember Amazon’s technology is just selling stuff online and having a network of warehouses! Tesla on the other hand is showcasing technologies never seen before! Tesla &gt; Amazon in 5 years
2020-10-03 03:10:19,The tesla is coming!
2020-10-03 03:10:02,The #Tesla #Cybertruck: Everything We Know About Elon Musk’s ‘Bulletproof’ Electric Pickup https://t.co/Myxi3r4b04 #TechJunkieNews https://t.co/60AnSsCbgf
2020-10-03 03:14:10,@tesla_69 well i’m glad you’re alive 🤘🏼😂
2020-10-03 03:09:28,why go to college when you can buy a tesla instead
2020-10-03 03:16:02,"@ElenesJulio @elonmusk @Tesla @EvaFoxU @vincent13031925 @WholeMarsBlog @Kristennetten @kimbal Yeah, he said he no longer likes my Mercedes E350. He wants a Tesla. God willing, I’ll be getting 1 within the next 12 months."
2020-10-03 03:08:13,"@TSLAQQ @vincent13031925 First it was the subsidies cliff, then it was the backlog cliff, now it’s the regulatory credits cliff. Each time we find out there’s no cliff and what they thought was a cliff is actually just Tesla’s cash pile growing ever higher."
2020-10-03 03:12:11,@jordyjourno @markbspiegel @elonmusk @Tesla Musked
2020-10-03 03:12:02,But @MercedesBenz @Honda &amp; @VWGroup all terminated hydrogen projects in favor of electric due to cost. I hope that hydrogen happens one day in cars but @Airbus may make it a sooner possibility in planes. Idk if it's an urgent threat to @Tesla with it's battery empire. https://t.co/hP92ZqV2Sp
