Date,Open,High,Low,Close,Volume,Market Cap
"May 12, 2019","1,27","1,32","1,19","1,22",6.995.488,807.377.030
"May 11, 2019","1,11","1,32","1,11","1,27",8.999.765,843.575.750
"May 10, 2019","1,1","1,17","1,09","1,11",5.489.153,736.779.680
"May 09, 2019","1,17","1,19","1,09","1,1",5.487.324,729.166.020
"May 08, 2019","1,2","1,2","1,14","1,17",5.312.444,776.042.350
"May 07, 2019","1,21","1,27","1,2","1,2",4.336.628,796.448.843
"May 06, 2019","1,16","1,23","1,14","1,21",4.966.399,799.822.365
"May 05, 2019","1,21","1,21","1,15","1,16",3.979.244,770.409.639
"May 04, 2019","1,31","1,32","1,15","1,21",5.378.794,799.198.601
"May 03, 2019","1,29","1,32","1,28","1,31",5.692.786,865.843.884
"May 02, 2019","1,2","1,32","1,19","1,29",5.617.751,857.600.250
"May 01, 2019","1,22","1,24","1,19","1,2",4.100.477,792.092.025
"Apr 30, 2019","1,14","1,23","1,13","1,22",4.954.875,805.480.416
"Apr 29, 2019","1,18","1,19","1,11","1,13",5.081.660,751.401.445
"Apr 28, 2019","1,22","1,24","1,16","1,17",5.210.110,776.895.426
"Apr 27, 2019","1,15","1,25","1,15","1,22",5.922.304,805.923.962
"Apr 26, 2019","1,12","1,15","1,03","1,15",8.830.115,760.619.921
"Apr 25, 2019","1,23","1,27","1,12","1,12",6.919.293,742.168.122
"Apr 24, 2019","1,46","1,46","1,22","1,23",9.638.383,814.506.075
"Apr 23, 2019","1,35","1,49","1,34","1,46",8.900.827,964.619.110
"Apr 22, 2019","1,32","1,35","1,31","1,35",5.026.218,891.321.471
"Apr 21, 2019","1,34","1,36","1,3","1,32",4.552.769,874.542.583
"Apr 20, 2019","1,36","1,39","1,31","1,34",6.077.148,889.004.785
"Apr 19, 2019","1,38","1,4","1,28","1,36",8.397.604,897.214.895
"Apr 18, 2019","1,27","1,38","1,26","1,38",11.789.322,910.979.421
"Apr 17, 2019","1,15","1,27","1,15","1,27",6.975.114,838.761.482
"Apr 16, 2019","1,07","1,16","1,04","1,15",5.125.489,762.858.702
"Apr 15, 2019","1,14","1,2","1,06","1,07",7.297.552,706.804.629
"Apr 14, 2019","0,980627","1,15","0,962144","1,14",7.879.353,756.808.225
"Apr 13, 2019","0,972006","0,997955","0,957275","0,980627",3.216.414,649.039.684
"Apr 12, 2019","0,936966","0,977282","0,915729","0,973109",3.421.766,643.084.925
"Apr 11, 2019","1,02","1,03","0,931632","0,937473",4.534.222,621.692.249
"Apr 10, 2019","0,941253","1,03","0,939551","1,02",4.767.004,677.893.974
"Apr 09, 2019","0,936641","1,01","0,898683","0,939958",5.204.779,624.517.832
"Apr 08, 2019","0,977546",1,"0,921211","0,936641",7.784.289,621.282.752
"Apr 07, 2019","0,960605","0,989973","0,958282","0,977848",6.017.800,647.560.148
"Apr 06, 2019","1,02","1,02","0,957762","0,960346",6.626.631,638.181.631
"Apr 05, 2019","0,867735","1,02","0,86647","1,02",8.618.245,675.611.949
"Apr 04, 2019","0,943479","1,01","0,856778","0,865498",8.582.839,573.285.374
