Date,Open*,High,Low,Close**,Volume,Market Cap
"Oct 05, 2020",$9.41,$9.70,$9.32,$9.62,"$1,114,063,226","$3,368,295,929"
"Oct 04, 2020",$9.31,$9.45,$9.18,$9.40,"$733,335,838","$3,291,718,471"
"Oct 03, 2020",$9.22,$9.53,$9.15,$9.30,"$740,099,523","$3,256,572,643"
"Oct 02, 2020",$9.64,$9.77,$8.87,$9.22,"$1,575,691,671","$3,228,646,739"
"Oct 01, 2020",$9.87,$10.37,$9.45,$9.65,"$1,426,296,389","$3,377,466,762"
"Sep 30, 2020",$10.13,$10.13,$9.63,$9.85,"$1,235,486,778","$3,447,923,597"
"Sep 29, 2020",$10.30,$10.35,$9.50,$10.12,"$1,656,880,792","$3,540,255,427"
"Sep 28, 2020",$10.78,$11.00,$10.30,$10.33,"$1,421,267,282","$3,616,745,328"
"Sep 27, 2020",$10.33,$10.94,$10.00,$10.77,"$1,452,956,505","$3,769,177,911"
"Sep 26, 2020",$10.72,$11.00,$10.07,$10.34,"$1,705,834,656","$3,619,580,604"
"Sep 25, 2020",$9.85,$11.12,$9.47,$10.71,"$2,342,555,820","$3,748,977,402"
"Sep 24, 2020",$7.67,$10.35,$7.56,$9.82,"$2,513,427,425","$3,436,116,830"
"Sep 23, 2020",$8.74,$8.80,$7.50,$7.70,"$1,571,651,694","$2,695,790,565"
"Sep 22, 2020",$8.75,$9.08,$8.67,$8.76,"$959,332,861","$3,067,464,620"
"Sep 21, 2020",$9.76,$9.90,$8.62,$8.76,"$1,586,349,748","$3,065,979,266"
"Sep 20, 2020",$10.14,$10.58,$9.60,$9.77,"$951,116,672","$3,418,842,857"
"Sep 19, 2020",$10.07,$10.49,$9.96,$10.15,"$873,109,762","$3,551,547,041"
"Sep 18, 2020",$10.99,$11.15,$9.90,$10.08,"$1,114,418,785","$3,528,574,725"
"Sep 17, 2020",$10.76,$11.61,$10.54,$10.99,"$1,259,649,199","$3,846,108,077"
"Sep 16, 2020",$10.98,$11.29,$10.57,$10.76,"$1,153,746,184","$3,766,635,594"
"Sep 15, 2020",$12.11,$12.21,$10.83,$10.98,"$1,195,560,378","$3,842,353,946"
"Sep 14, 2020",$11.97,$12.43,$11.73,$12.12,"$1,249,919,309","$4,241,852,740"
"Sep 13, 2020",$12.77,$13.18,$11.85,$11.99,"$3,644,243,871","$4,197,741,154"
"Sep 12, 2020",$12.50,$12.77,$12.12,$12.77,"$3,524,744,647","$4,469,160,914"
"Sep 11, 2020",$12.55,$12.72,$12.06,$12.50,"$3,397,578,038","$4,375,523,796"
"Sep 10, 2020",$12.38,$13.20,$12.30,$12.55,"$4,019,748,249","$4,392,959,562"
"Sep 09, 2020",$11.79,$12.62,$11.51,$12.38,"$1,212,963,346","$4,332,052,448"
"Sep 08, 2020",$12.44,$12.72,$11.27,$11.79,"$1,393,552,853","$4,124,761,105"
"Sep 07, 2020",$12.89,$13.19,$11.42,$12.43,"$1,891,052,112","$4,349,302,010"
"Sep 06, 2020",$10.61,$13.17,$9.94,$12.91,"$1,953,997,882","$4,519,805,324"
"Sep 05, 2020",$12.51,$12.77,$9.52,$10.61,"$1,906,501,660","$3,714,015,162"
"Sep 04, 2020",$12.01,$12.92,$11.27,$12.49,"$1,796,655,505","$4,372,503,210"
"Sep 03, 2020",$14.96,$14.98,$11.68,$12.02,"$1,702,199,859","$4,205,837,225"
"Sep 02, 2020",$16.12,$16.39,$14.27,$14.90,"$1,440,207,730","$5,214,088,927"
